goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=vectors/n=32      	     434	    274362 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      73	   1628897 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       8	  13353198 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 169034833 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     296	    407503 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      49	   2379958 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       6	  17981528 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 196934458 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     159	    763035 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      27	   4255589 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  30064916 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 269674000 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=3/stride=3         	  963823	       124.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=4/stride=4         	  590986	       203.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=5/stride=5         	  423460	       283.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=32/stride=32       	   35323	      3414 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=64/stride=64       	   10000	     10736 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=128/stride=128     	    2382	     50201 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=256     	     258	    464065 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=259     	     813	    147447 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=3/stride=3            	  895159	       130.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=4/stride=4            	  553260	       211.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=5/stride=5            	  401617	       299.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=32/stride=32          	   27012	      4456 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=64/stride=64          	    7333	     16371 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=128/stride=128        	    1388	     86418 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=256        	     183	    650488 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=259        	     531	    225418 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=3/stride=3            	  911218	       131.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=4/stride=4            	  560725	       221.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=5/stride=5            	  372834	       312.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=32/stride=32          	   25365	      4628 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=64/stride=64          	    7142	     16488 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=128/stride=128        	    1390	     86448 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=256        	     182	    659564 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=259        	     531	    225570 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=3/stride=3         	  868384	       138.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=4/stride=4         	  485853	       226.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=5/stride=5         	  374146	       322.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=32/stride=32       	   21622	      5532 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=64/stride=64       	    5470	     21674 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=128/stride=128     	    1000	    118722 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=256     	     135	    871985 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=259     	     376	    325296 ns/op	       0 B/op	       0 allocs/op
PASS

goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     594	    197384 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1089964 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      15	   7668900 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=256        	       1	 114909667 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=32      	     426	    283322 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      72	   1646387 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       8	  13475562 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 170334875 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     298	    408228 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      49	   2404920 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       6	  18229417 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 201116250 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     152	    805187 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      26	   4392641 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  30839219 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 288472709 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=3/stride=3         	  964242	       126.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=4/stride=4         	  590913	       206.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=5/stride=5         	  423946	       287.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=32/stride=32       	   34028	      3524 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=64/stride=64       	   10000	     10981 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=128/stride=128     	    2382	     50255 ns/op	       0 B/op	       0 allocs/op
