goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=vectors/n=32      	     427	    279150 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      70	   1654668 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       8	  13528219 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 174689792 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     272	    438297 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      43	   2599761 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       6	  19763743 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 205247542 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     157	    768654 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      26	   4312040 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  30081010 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 275093833 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=3/stride=3         	  939824	       130.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=4/stride=4         	  587754	       205.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=5/stride=5         	  417196	       288.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=32/stride=32       	   34100	      3541 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=64/stride=64       	   10000	     11430 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=128/stride=128     	    2293	     52192 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=256     	     250	    472339 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=none/n=256/stride=259     	     751	    154324 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=3/stride=3            	  840630	       137.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=4/stride=4            	  556725	       218.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=5/stride=5            	  394958	       307.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=32/stride=32          	   26110	      4606 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=64/stride=64          	    7122	     16866 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=128/stride=128        	    1344	     89690 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=256        	     181	    661219 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=q/n=256/stride=259        	     501	    238905 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=3/stride=3            	  890014	       134.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=4/stride=4            	  558333	       215.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=5/stride=5            	  394233	       304.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=32/stride=32          	   26200	      4588 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=64/stride=64          	    7162	     16734 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=128/stride=128        	    1350	     89001 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=256        	     178	    659984 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=z/n=256/stride=259        	     513	    237656 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=3/stride=3         	  855818	       156.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=4/stride=4         	  447238	       230.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=5/stride=5         	  367867	       326.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=32/stride=32       	   21148	      5800 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=64/stride=64       	    5378	     22249 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=128/stride=128     	     979	    122653 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=256     	     135	    878128 ns/op	       0 B/op	       0 allocs/op
BenchmarkDhgeqzSweepDouble/mode=both/n=256/stride=259     	     363	    326634 ns/op	       0 B/op	       0 allocs/op
PASS

goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     560	    196960 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1103228 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      14	   7716598 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=256        	       1	 115951000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=32      	     424	    283522 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      70	   1650176 ns/op	       0 B/op	       0 allocs/op
